Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01 10000602     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<char const* const, double*>, false, false>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<char const* const, double*>, false>*)
  0.00      0.01     0.00 26003046     0.00     0.00  std::vector<char const*, std::allocator<char const*> >::operator[](unsigned long) const
  0.00      0.01     0.00 22002639     0.00     0.00  lilc::getWordUnchecked(int) const
  0.00      0.01     0.00 22000064     0.00     0.00  std::vector<char const*, std::allocator<char const*> >::operator[](unsigned long)
  0.00      0.01     0.00 12001012     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<char const* const, double*>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<char const* const, double*>, false>*)
  0.00      0.01     0.00 10006905     0.00     0.00  SYM()
  0.00      0.01     0.00  9001122     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.01     0.00  9000820     0.00     0.00  PtrHash::operator()(char const*) const
  0.00      0.01     0.00  9000820     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, PtrHash, true>::_M_cget() const
  0.00      0.01     0.00  9000592     0.00     0.00  PtrEq::operator()(char const*, char const*) const
  0.00      0.01     0.00  9000592     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, PtrEq, true>::_M_cget() const
  0.00      0.01     0.00  8000811     0.00     0.00  std::vector<char const*, std::allocator<char const*> >::size() const
  0.00      0.01     0.00  6000508     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.01     0.00  6000508     0.00     0.00  std::__detail::_Hash_code_base<char const*, std::pair<char const* const, double*>, std::__detail::_Select1st, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(char const* const&) const
  0.00      0.01     0.00  6000508     0.00     0.00  std::__detail::_Hash_code_base<char const*, std::pair<char const* const, double*>, std::__detail::_Select1st, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.01     0.00  6000508     0.00     0.00  std::__detail::_Hash_code_base<char const*, std::pair<char const* const, double*>, std::__detail::_Select1st, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.01     0.00  6000507     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, double*> >::_M_ptr()
  0.00      0.01     0.00  6000507     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, double*> >::_M_addr()
  0.00      0.01     0.00  6000507     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, char const* const&, unsigned long) const
  0.00      0.01     0.00  6000507     0.00     0.00  std::_Hashtable<char const*, std::pair<char const* const, double*>, std::allocator<std::pair<char const* const, double*> >, std::__detail::_Select1st, PtrEq, PtrHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, char const* const&, unsigned long) const
  0.00      0.01     0.00  6000507     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<char const* const, double*> >::_M_valptr()
  0.00      0.01     0.00  6000503     0.00     0.00  std::__detail::operator==(std::__detail::_Node_iterator_base<std::pair<char const* const, double*>, false> const&, std::__detail::_Node_iterator_base<std::pair<char const* const, double*>, false> const&)
  0.00      0.01     0.00  6000502     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, double*> >::_M_ptr() const
  0.00      0.01     0.00  6000502     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<char const* const, double*> >::_M_addr() const
  0.00      0.01     0.00  6000502     0.00     0.00  decltype ((get<0>)((forward<std::pair<char const* const, double*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<char const* const, double*> const&>(std::pair<char const* const, double*> const&) const
  0.00      0.01     0.00  6000502     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<char const* const, double*> >::_M_v() const
  0.00      0.01     0.00  6000502     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<char const* const, double*> >::_M_valptr() const
  0.00      0.01     0.00  6000502     0.00     0.00  char const* const& std::__pair_get<0ul>::__const_get<char const* const, double*>(std::pair<char const* const, double*> const&)
  0.00      0.01     0.00  6000502     0.00     0.00  std::tuple_element<0ul, std::pair<char const* const, double*> >::type const& std::get<0ul, char const* const, double*>(std::pair<char const* const, double*> const&)
  0.00      0.01     0.00  6000502     0.00     0.00  std::pair<char const* const, double*> const& std::forward<std::pair<char const* const, double*> const&>(std::remove_reference<std::pair<char const* const, double*> const&>::type&)
